Player,Team,Pos,Injury,Status,Est. Return
Allan Saint-Maximin,NEW,F/M,Ankle,GTD,Subscribers Only
Jeffrey Schlupp,CRY,M,Strain,GTD,Subscribers Only
Thiago Silva,CHE,D,Rest,OUT,Subscribers Only
Emile Smith-Rowe,ARS,F/M,Shoulder,GTD,Subscribers Only
Caglar Soyuncu,LEI,D,Thigh,OUT,Subscribers Only
Raheem Sterling,MCI,F/M,Hamstring,GTD,Subscribers Only
Japhet Tanganga,TOT,D,Thigh,OUT,Subscribers Only
Alex Telles,MUN,D,Rest,GTD,Subscribers Only
Kenny Tete,FUL,D,Calf,OUT,Subscribers Only
Kieran Tierney,ARS,D,Not Injury Related,GTD,Subscribers Only
James Tomkins,CRY,D,Hamstring,GTD,Subscribers Only
Cenk Tosun,EVE,F,Knee,OUT,Subscribers Only
Konstantinos Tsimikas,LIV,D,Thigh,OUT,Subscribers Only
Axel Tuanzebe,MUN,D,Foot,OUT,Subscribers Only
Patrick van Aanholt,CRY,D,Shoulder,GTD,Subscribers Only
Jamie Vardy,LEI,F,Calf,GTD,Subscribers Only
Christian Walton,BHA,G,Ankle,OUT,Subscribers Only
Connor Wickham,CRY,F,Undisclosed,OUT,Subscribers Only
DeAndre Yedlin,NEW,D,Undisclosed,GTD,Subscribers Only
Wilfried Zaha,CRY,F/M,Groin,GTD,Subscribers Only
Oleksandr Zinchenko,MCI,D,Strain,GTD,Subscribers Only
Hakim Ziyech,CHE,F/M,Knee,GTD,Subscribers Only
